Brand,Ciudades,Freq,lat,lot
Nexxus,Lexington,1,25.7813034,-100.30184039898356
Tide,Lakeland,1,44.0689714,-123.8417316
Clear Scalp & Hair Therapy,Seattle,1,0,0
Rubbermaid,Seattle,1,42.2590531,-85.63995804263892
Smead,Seattle,1,33.7948282,-92.8176632
L'Oreal Paris,Sesser,1,-16.5080675,-68.1262832
Tide,Sierra Vista,1,44.0689714,-123.8417316
Lemi Shine,South Bend,1,0,0
Tide,South Bend,1,44.0689714,-123.8417316
Rubbermaid,South Brunswick Township,1,42.2590531,-85.63995804263892
Horizon,Southside,1,51.0877296,-113.9919091
Rubbermaid,Spartanburg,1,42.2590531,-85.63995804263892
Lemi Shine,Spencer,1,0,0
Axe,Springfield,1,45.7918263,11.246211
Clorox,Springfield,1,34.0797054,-117.23501099958955
Clorox,St Louis,1,34.0797054,-117.23501099958955
OxiClean,St Paul,1,4.7526689,-74.1085512
Lemi Shine,St. Petersburg,1,0,0
Rubbermaid,State College,1,42.2590531,-85.63995804263892
Rubbermaid,Sterling,1,42.2590531,-85.63995804263892
L'Oreal Paris,Stopover,1,-16.5080675,-68.1262832
OxiClean,Storrs Mansfield,1,4.7526689,-74.1085512
OxiClean,Seattle,1,4.7526689,-74.1085512
Nivea,Scottsdale,1,52.51759,13.32558793157904
Tide,Suffolk,1,44.0689714,-123.8417316
Head & Shoulders,Scott City,1,30.5291554,-97.6878799
L'oreal Paris,Portage,1,-16.5080675,-68.1262832
Nexxus,Portland,1,25.7813034,-100.30184039898356
Clear Scalp & Hair Therapy,Qubec,1,0,0
Rubbermaid,Quebec,1,42.2590531,-85.63995804263892
Nexxus,Queens,1,25.7813034,-100.30184039898356
Rubbermaid,Quincy,1,42.2590531,-85.63995804263892
Clorox,Ravenna,1,34.0797054,-117.23501099958955
Rubbermaid,Rice Lake,1,42.2590531,-85.63995804263892
Nexxus,Rio Rancho,1,25.7813034,-100.30184039898356
Rubbermaid,Riverton,1,42.2590531,-85.63995804263892
L'Oreal Paris,Rosamond,1,-16.5080675,-68.1262832
Rubbermaid,Rosthern,1,42.2590531,-85.63995804263892
L'Oreal Paris,Round Lake,1,-16.5080675,-68.1262832
L'oreal Paris,Sacramento,1,-16.5080675,-68.1262832
Tide,Saddle Brook,1,44.0689714,-123.8417316
Nexxus,San Antonio,1,25.7813034,-100.30184039898356
Tide,San Diego,1,44.0689714,-123.8417316
Tide,San Francisco,1,44.0689714,-123.8417316
Pendaflex,Santa Clarita,1,0,0
Clorox,Suffolk,1,34.0797054,-117.23501099958955
Clorox,Summerfield,1,34.0797054,-117.23501099958955
Lemi Shine,Plano,1,0,0
Lemi Shine,Wartrace,1,0,0
Maaya Home,Washington,1,13.131644,80.2121709
Tide,Washington,1,44.0689714,-123.8417316
Rubbermaid,Waterford,1,42.2590531,-85.63995804263892
Tide,Watertown,1,44.0689714,-123.8417316
Rubbermaid,Waterville,1,42.2590531,-85.63995804263892
Lean Cuisine,Weatherford,1,0,0
Rubbermaid,Weslaco,1,42.2590531,-85.63995804263892
L'Oreal Paris,West Bend,1,-16.5080675,-68.1262832
Rubbermaid,West Chester,1,42.2590531,-85.63995804263892
Nexxus,West Jordan,1,25.7813034,-100.30184039898356
L'Oreal Paris,Weymouth,1,-16.5080675,-68.1262832
Head & Shoulders,Whitesboro,1,30.5291554,-97.6878799
Vaseline,Whittier,1,49.1012095,-117.8565546
L'Oreal Paris,Williamsburg,1,-16.5080675,-68.1262832
Rubbermaid,Willoughby,1,42.2590531,-85.63995804263892
Rubbermaid,Wilmington,1,42.2590531,-85.63995804263892
Pendaflex,Windsor,1,0,0
Clorox,Winnabow,1,34.0797054,-117.23501099958955
L'Oreal Paris,Winter Haven,1,-16.5080675,-68.1262832
L'Oreal Paris,Washington,1,-16.5080675,-68.1262832
Rubbermaid,Walnut Creek,1,42.2590531,-85.63995804263892
Rubbermaid,Surrey,1,42.2590531,-85.63995804263892
Rubbermaid,Virginia Beach,1,42.2590531,-85.63995804263892
Rubbermaid,Sycamore,1,42.2590531,-85.63995804263892
Clorox,Tampa,1,34.0797054,-117.23501099958955
Lemi Shine,Tampa Bay,1,0,0
Nexxus,Temecula,1,25.7813034,-100.30184039898356
Clorox,The Beast,1,34.0797054,-117.23501099958955
Nexxus,Toledo,1,25.7813034,-100.30184039898356
Lemi Shine,Topeka,1,0,0
L'Oreal Paris,Tualatin,1,-16.5080675,-68.1262832
Nexxus,Tulsa,1,25.7813034,-100.30184039898356
Tide,Tulsa,1,44.0689714,-123.8417316
Nexxus,Tustin,1,25.7813034,-100.30184039898356
Clorox,Utica,1,34.0797054,-117.23501099958955
Rubbermaid,Valparaiso,1,42.2590531,-85.63995804263892
Rubbermaid,Vancouver,1,42.2590531,-85.63995804263892
Rubbermaid,Vergennes,1,42.2590531,-85.63995804263892
Rubbermaid,Vernon,1,42.2590531,-85.63995804263892
Clear Scalp & Hair Therapy,Victoria,1,0,0
Rubbermaid,Vineland,1,42.2590531,-85.63995804263892
Clorox,Virginia,1,34.0797054,-117.23501099958955
Rubbermaid,Port Richey,1,42.2590531,-85.63995804263892
Rubbermaid,Pittsburgh,1,42.2590531,-85.63995804263892
Tide,Lancaster,1,44.0689714,-123.8417316
Clorox,Manhattan,1,34.0797054,-117.23501099958955
Rubbermaid,Marble Hill,1,42.2590531,-85.63995804263892
Tide,Marbury,1,44.0689714,-123.8417316
L'Oreal Paris,Marmaduke,1,-16.5080675,-68.1262832
Lemi Shine,Martinez,1,0,0
Rubbermaid,Marysville,1,42.2590531,-85.63995804263892
Lemi Shine,Massapequa Park,1,0,0
Vaseline,Maui County,1,49.1012095,-117.8565546
Clorox,Mchenry,1,34.0797054,-117.23501099958955
Rubbermaid,Mckinney,1,42.2590531,-85.63995804263892
Pendaflex,Mcminnville,1,0,0
Rubbermaid,Meadville,1,42.2590531,-85.63995804263892
Clear Scalp & Hair Therapy,Melbourne,1,0,0
L'Oreal Paris,Melbourne,1,-16.5080675,-68.1262832
Rubbermaid,Memphis,1,42.2590531,-85.63995804263892
OxiClean,Miami,1,4.7526689,-74.1085512
Rubbermaid,Miami,1,42.2590531,-85.63995804263892
Rubbermaid,Miami Beach,1,42.2590531,-85.63995804263892
Clear Scalp & Hair Therapy,Minneapolis,1,0,0
Rubbermaid,Missouri City,1,42.2590531,-85.63995804263892
OxiClean,Manhattan,1,4.7526689,-74.1085512
Pendaflex,Manchester,1,0,0
Rubbermaid,Monroe County,1,42.2590531,-85.63995804263892
Rubbermaid,Madison,1,42.2590531,-85.63995804263892
Rubbermaid,Laughlin,1,42.2590531,-85.63995804263892
Smead,League City,1,33.7948282,-92.8176632
Clorox,Lebanon,1,34.0797054,-117.23501099958955
Clear Scalp & Hair Therapy,Lexington,1,0,0
Pendaflex,Wooster,1,0,0
Lemi Shine,Lidgerwood,1,0,0
Rubbermaid,Lincoln,1,42.2590531,-85.63995804263892
Foodsaver,Little Rock,1,53.2454125,10.4108193
Tide,Little Rock,1,44.0689714,-123.8417316
Nexxus,Locust Valley,1,25.7813034,-100.30184039898356
Rubbermaid,London,1,42.2590531,-85.63995804263892
Hoover,Long Island,1,33.4060825,-86.78985769796296
L'Oreal Paris,Longview,1,-16.5080675,-68.1262832
Head & Shoulders,Los Angeles,1,30.5291554,-97.6878799
L'Oreal Paris,Los Angeles,1,-16.5080675,-68.1262832
Rubbermaid,Los Angeles,1,42.2590531,-85.63995804263892
Tide,Los Angeles,1,44.0689714,-123.8417316
L'Oreal Paris,Madison,1,-16.5080675,-68.1262832
Nexxus,Madison,1,25.7813034,-100.30184039898356
Tide,Moline,1,44.0689714,-123.8417316
Rubbermaid,Montgomery,1,42.2590531,-85.63995804263892
OxiClean,Pittsburgh,1,4.7526689,-74.1085512
Pendaflex,Oakland,1,0,0
L'Oreal Paris,Olmito,1,-16.5080675,-68.1262832
Clorox,Omaha,1,34.0797054,-117.23501099958955
L'Oreal Paris,Omaha,1,-16.5080675,-68.1262832
Rubbermaid,Ottawa,1,42.2590531,-85.63995804263892
Clorox,Overland Park,1,34.0797054,-117.23501099958955
Lemi Shine,Painted Post,1,0,0
Rubbermaid,Palm Springs,1,42.2590531,-85.63995804263892
Rubbermaid,Panama City,1,42.2590531,-85.63995804263892
L'Oreal Paris,Parma,1,-16.5080675,-68.1262832
Pendaflex,Pasadena,1,0,0
L'oreal Paris,Pasco,1,-16.5080675,-68.1262832
Lemi Shine,Pasco,1,0,0
Tide,Pataskala,1,44.0689714,-123.8417316
Tide,Pen Argyl,1,44.0689714,-123.8417316
Clear Scalp & Hair Therapy,Petrolia,1,0,0
L'Oreal Paris,Phoenix,1,-16.5080675,-68.1262832
Rubbermaid,Pinson,1,42.2590531,-85.63995804263892
Rubbermaid,Piqua,1,42.2590531,-85.63995804263892
Lemi Shine,Pittsburgh,1,0,0
Clorox,Okc,1,34.0797054,-117.23501099958955
Hoover,Oakland,1,33.4060825,-86.78985769796296
Tide,Moore,1,44.0689714,-123.8417316
Rubbermaid,Nova Scotia,1,42.2590531,-85.63995804263892
Rubbermaid,Mooretown,1,42.2590531,-85.63995804263892
Schwarzkopf,Mt Holly,1,48.4742305,7.3371149
Rubbermaid,Mukwonago,1,42.2590531,-85.63995804263892
Rubbermaid,Murfreesboro,1,42.2590531,-85.63995804263892
Clorox,Nantucket,1,34.0797054,-117.23501099958955
L'Oreal Paris,Naples,1,-16.5080675,-68.1262832
Nexxus,Narragansett,1,25.7813034,-100.30184039898356
Head & Shoulders,Nashville,1,30.5291554,-97.6878799
Lean Cuisine,Nashville,1,0,0
Vaseline,New Haven,1,49.1012095,-117.8565546
Clorox,New Jersey,1,34.0797054,-117.23501099958955
OxiClean,New Orleans,1,4.7526689,-74.1085512
Clear Scalp & Hair Therapy,New York,1,0,0
Rubbermaid,New York,1,42.2590531,-85.63995804263892
L'Oreal Paris,Newcastle,1,-16.5080675,-68.1262832
Rubbermaid,Newfoundland And Labrador,1,42.2590531,-85.63995804263892
Clorox,Newport News,1,34.0797054,-117.23501099958955
L'Oreal Paris,North Bend,1,-16.5080675,-68.1262832
Nexxus,Northville,1,25.7813034,-100.30184039898356
Head & Shoulders,Aguada,1,30.5291554,-97.6878799
